,SPCD,DO_BH,HT_TOT,TT_DW_CRM
127812,131,6.5,41.6,133.71
95349,129,4.4,54.1,46.74
133044,922,24.4,64.2,2892.05
50905,131,7.4,50.0,222.71
31988,131,22.8,113.4,5042.15
36910,121,8.6,45.0,330.03
89174,125,12.3,56.8,622.42
116561,831,11.3,75.5,994.82
135673,202,8.9,82.5,597.17
7389,318,17.3,91.8,3503.17
122055,951,14.4,66.7,741.86
41549,121,8.4,42.0,290.61
73886,832,10.4,62.0,725.23
43521,128,5.4,45.0,107.03
92772,105,6.1,39.7,105.98
73772,837,11.3,77.0,966.07
47627,491,2.0,23.0,9.78
43362,121,11.3,59.0,771.51
16706,611,5.6,55.0,131.29
46847,491,1.4,13.0,4.04
34440,121,11.0,69.0,852.01
43122,111,12.9,67.0,1093.01
4022,97,12.4,66.0,798.48
65407,802,6.2,46.0,255.93
6071,97,7.8,52.5,266.54
113842,131,5.5,40.6,84.28
107605,122,16.0,61.0,1167.87
20399,110,11.8,48.0,608.8
44833,111,3.6,37.0,35.5
127555,131,8.9,72.0,486.31
118941,531,15.3,68.1,1458.06
66215,316,9.4,59.0,456.48
133452,950,17.8,105.5,2160.85
64937,653,7.5,36.0,166.44
27758,653,15.8,81.8,1460.68
84510,740,11.7,95.9,951.82
29078,621,6.9,57.9,210.06
79690,651,11.3,87.0,967.42
104782,122,11.6,71.4,651.59
1463,131,1.0,9.0,1.41
82748,42,14.2,77.2,1258.58
114628,125,10.8,39.0,422.46
75247,832,11.7,69.0,1004.54
69295,110,6.3,49.0,161.28
48596,833,19.1,95.0,3450.91
109851,97,12.0,74.2,696.31
40493,691,21.4,88.0,2928.07
5324,531,16.2,86.7,3069.18
72915,316,7.2,53.0,252.99
116898,211,25.2,119.8,4018.43
66932,131,10.7,78.0,766.14
1370,131,7.8,46.2,230.12
33721,746,15.7,64.1,1205.71
48357,131,10.0,72.0,616.4
48476,131,10.5,63.0,596.52
110094,802,9.5,49.0,489.2
107209,122,27.8,77.5,4804.67
70852,621,8.9,57.0,339.71
113927,131,12.9,70.7,1016.32
40792,107,14.9,49.0,1059.87
14603,611,5.5,50.0,110.15
14447,611,6.1,65.0,197.51
106488,122,22.6,77.0,3154.58
100117,263,4.6,67.6,54.01
85983,93,8.6,64.0,343.33
73739,802,8.3,72.0,620.95
115358,746,3.9,39.4,40.37
65405,802,5.3,55.0,237.02
59952,611,23.3,110.0,4727.11
50718,131,8.2,61.0,344.58
113760,131,8.8,55.9,366.05
106655,122,19.4,88.4,2463.48
110105,823,7.6,31.0,276.09
70238,132,9.0,67.0,502.37
65513,131,6.6,58.0,202.49
136742,131,12.4,74.6,988.71
12331,131,10.5,72.5,685.69
9925,111,8.5,71.0,495.4
32971,12,5.2,51.6,73.48
30144,121,7.3,43.9,221.0
67436,131,13.9,89.0,1479.21
52701,540,7.6,66.0,370.21
93308,316,6.0,55.9,139.38
19482,404,18.5,80.1,2827.07
101872,242,4.3,31.2,46.56
129955,128,9.1,33.0,281.12
130889,371,7.6,56.1,331.83
23223,611,20.8,107.2,3699.01
75367,621,11.3,85.0,798.32
102222,71,4.3,32.7,42.19
19536,544,17.4,90.8,2475.34
117244,202,5.8,40.3,102.04
56009,400,15.9,77.0,2092.75
110577,837,12.6,70.7,934.96
81821,531,12.3,65.9,1349.57
6378,531,25.5,83.0,7267.6
52542,131,17.6,106.0,2814.4
65103,131,5.5,45.0,96.34
21072,806,16.5,74.1,2323.82
25396,621,20.3,100.6,2792.84
88838,105,12.2,53.4,547.78
51778,813,6.7,59.0,369.12
109406,316,2.0,24.0,11.53
72952,762,8.8,79.0,531.46
103740,20,7.4,41.0,168.77
13726,762,3.0,41.0,22.89
63792,110,9.5,67.0,541.85
117994,121,5.5,39.8,94.44
74320,491,5.2,27.0,75.38
26031,132,9.0,60.8,459.21
94572,202,20.9,123.0,4225.95
66718,802,11.6,66.0,984.23
92723,95,6.2,44.1,123.14
3000,97,13.0,71.1,813.56
67022,540,5.3,35.0,90.06
36353,111,6.0,46.0,140.84
40228,111,2.9,24.0,20.99
52138,812,5.2,41.0,118.17
110185,317,29.0,76.0,5631.23
106450,122,19.3,89.3,2462.15
81694,316,12.2,76.5,1108.41
