SPCD,DO_BH,HT_TOT,TT_DW_CRM
318,7.5,72.6,432.63
318,7.6,68.2,393.87
318,8.6,65.5,567.61
318,11,69.9,953.64
318,7.2,80,428.99
318,7.4,57.5,307.16
318,7.5,74.9,443.85
318,7.6,72.5,501.86
318,9.5,67.4,699.55
318,9.6,63.2,489.52
318,10.3,74.9,827.15
318,12.2,76.3,967.78
318,15.5,87.4,1744.39
403,11.7,94.1,964.83
403,14.3,93.2,1618.28
403,11.9,95.2,1008.26
407,15.5,105.5,1944.51
407,18.9,104.3,3154.75
409,10.1,88.9,636.93
521,9.1,71.3,421.22
521,12,72.4,865.9
531,15,89.7,1394.6
541,13.2,76.7,1030.74
541,14.6,97.2,1324.55
541,9.6,86,460.65
541,18.2,96.8,2253.04
541,19.5,102.8,2641.08
541,20.7,97.3,3018.59
552,12.5,90.9,910.18
621,13.1,85,860.18
621,15.5,86,1321.62
621,19,104.5,2211.49
621,19.2,104.4,2270.2
621,19.5,105.9,2359.86
621,14.1,93.2,1038.1
621,16.3,98.1,1502.06
621,18.8,82.6,2153.61
621,19.2,108.6,2270.2
731,23.6,104.3,4046.61
762,15.1,84.6,1166.86
802,23.1,97.5,4068.27
802,17.5,95,2149.1
802,18,95,2297.14
802,19.8,85,2870.32
802,22.1,79.2,3687.12
802,23.2,87.5,4107.16
833,20.5,95.8,3209.03
833,22.5,100.5,3989.33
833,23.8,87,4542.36
837,15.5,87.2,1558.31
837,26.1,98.9,5410.06
837,18,83.4,2247.4
837,18.7,87,2465.73
837,23,83,4042.72
837,27,105.6,5838.21
837,27,97.8,5838.21
129,15.6,87.8,958.32
129,7.5,64,141.59
129,11.3,86.6,412.57
129,17,85.5,1198.29
129,17.4,89.9,1272.78
318,7.2,71.7,262.87
318,11.7,75.5,872.37
318,12.6,73.1,1048.31
318,12.7,77.7,1069.02
318,23.2,86,4459.23
318,8.3,72.5,372.56
318,8.4,71.1,383.73
318,8.6,68,406.66
318,13.3,83.5,1198.25
318,21.4,86.3,3730.46
407,10.5,80.3,721.65
409,18.9,93.8,3076.31
409,17.4,99.6,2521.72
531,13.5,84.5,1070.66
531,16.8,106,1850
531,28.2,101.4,6268.46
531,29.5,106,6896.29
541,20.3,103,2890.94
541,7.4,64.9,238.44
541,20,103.1,2796.35
541,21.2,104.7,3180.41
541,25.1,96.6,4493.65
544,12.6,86,884.14
621,8.8,78.3,312.39
621,10,62.2,431.86
621,11.9,83.5,672.88
621,15.4,96.6,1300.01
621,16.3,96.3,1502.06
621,17.8,97.3,1877.01
621,19.5,105.6,2359.86
762,11.3,68.7,550.88
762,17.3,97.7,1647.46
762,12.5,67.8,716.3
802,18.6,89.1,2481.31
802,22.5,95.8,3837.85
802,18.1,94.1,2327.34
802,25.4,94.2,4993.84
832,21.2,101.1,3261.76
832,26,105,5195.27
832,17.4,87.7,2042.3
832,18.2,89,2274.19
832,24.8,95.9,4675.29
833,11.9,74.6,875.53
833,17.1,99.8,2087.22
833,20.6,99.9,3245.96
833,14.1,87.2,1315.01
833,16.6,86.5,1944.38
833,17.1,88,2087.22
833,18.2,90.8,2421.49
833,19.4,87.6,2817.51
833,20.3,88,3135.83
833,22.1,92.8,3826.33
833,26.8,96.4,5947.1
931,7.9,73.2,204.38
316,23.2,96,4988.13
316,24.8,103.9,6164.28
318,7.9,70.5,577.31
318,8.7,68,743.55
318,11.2,90.4,1315.02
318,10.1,85.2,1063.72
318,12,89.9,1521.3
318,12.7,89,1842.27
318,13.3,98,2065.11
762,19.6,110.6,4016.05
762,37,109,14669.71
762,20.1,102.7,3964.24
762,23.4,106,5292.07
762,27.6,112.8,8164.91
951,10.9,92.2,801
316,10.6,50,760.86
316,13.8,101.4,1837.02
316,14.5,101.4,1965.34
316,16.5,98,2655.88
316,14.9,101.4,2059.14
316,17.8,77.3,2364.98
318,10.5,89.1,1202.2
318,9.6,78,871.73
318,12,84.9,1570.2
318,12.7,89.1,1679.92
318,14.2,89.1,1919.64
318,15.2,89.1,2387.2
